Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VAIO,Imp,VAIO,adaawen,adaawe,2SgSubj,0SgObj,Sim,NONE,adaawen,<<adaawe>>n,JDN-2010-MS-VTI-p43,,,,,,
VAIO,Imp,VAIO,adaawen,adaawe,2SgSubj,0PlObj,Sim,NONE,adaawen,<<adaawe>>n,JDN-2010-MS-VTI-p43,,,,,,
VAIO,Imp,VAIO,adaawen,adaawe,2PlSubj,0SgObj,Sim,NONE,adaaweyok,<<adaawe>>yok,GUESS,adaaweg,<<adaawe>>g,JDN-2010-MS-VTI-p43,adaawek,<<adaawe>>k,JDN-2010-MS-VTI-p43
VAIO,Imp,VAIO,adaawen,adaawe,2PlSubj,0PlObj,Sim,NONE,adaaweyok,<<adaawe>>yok,GUESS,adaaweg,<<adaawe>>g,JDN-2010-MS-VTI-p43,adaawek,<<adaawe>>k,JDN-2010-MS-VTI-p43
VAIO,Imp,VAIO,adaawen,adaawe,InclSubj,0SgObj,Sim,NONE,adaawedaa,<<adaawe>>daa,JDN-2010-MS-VTI-p43,,,,,,
VAIO,Imp,VAIO,adaawen,adaawe,InclSubj,0PlObj,Sim,NONE,adaawedaanin,<<adaawe>>daanin,JDN-2010-MS-VTI-p43,,,,,,
VAIO,Imp,VAIO,adaawen,adaawe,2SgSubj,0SgObj,Prb,NONE,adaaweken,<<adaawe>>ken,JDN-2010-MS-VTI-p44,,,,,,
VAIO,Imp,VAIO,adaawen,adaawe,2SgSubj,0PlObj,Prb,NONE,adaaweken,<<adaawe>>ken,JDN-2010-MS-VTI-p44,,,,,,
VAIO,Imp,VAIO,adaawen,adaawe,2PlSubj,0SgObj,Prb,NONE,adaawekegon,<<adaawe>>kegon,JDN-2010-MS-VTI-p44,,,,,,
VAIO,Imp,VAIO,adaawen,adaawe,2PlSubj,0PlObj,Prb,NONE,adaawekegon,<<adaawe>>kegon,JDN-2010-MS-VTI-p44,,,,,,
VAIO,Imp,VAIO,adaawen,adaawe,InclSubj,0SgObj,Prb,NONE,adaawesiidaa,<<adaawe>>siidaa,JDN-2010-MS-VTI-p44,,,,,,
VAIO,Imp,VAIO,adaawen,adaawe,InclSubj,0PlObj,Prb,NONE,adaawesiidaanin,<<adaawe>>siidaanin,JDN-2010-MS-VTI-p44,,,,,,
VAIO,Imp,VAIO,adaawen,adaawe,2SgSubj,0SgObj,Del,NONE,adaawekan,<<adaawe>>kan,JDN-2010-MS-VTI-p46,,,,,,
VAIO,Imp,VAIO,adaawen,adaawe,2SgSubj,0PlObj,Del,NONE,adaawekan,<<adaawe>>kan,JDN-2010-MS-VTI-p46,,,,,,
VAIO,Imp,VAIO,adaawen,adaawe,2PlSubj,0SgObj,Del,NONE,adaawekeg,<<adaawe>>keg,JDN-2010-MS-VTI-p46,,,,,,
VAIO,Imp,VAIO,adaawen,adaawe,2PlSubj,0PlObj,Del,NONE,adaawekeg,<<adaawe>>keg,JDN-2010-MS-VTI-p46,,,,,,
VAIO,Imp,VAIO,adaawen,adaawe,InclSubj,0SgObj,Del,NONE,adaawekang,<<adaawe>>kang,JDN-2010-MS-VTI-p46,,,,,,
VAIO,Imp,VAIO,adaawen,adaawe,InclSubj,0PlObj,Del,NONE,adaawekang,<<adaawe>>kang,JDN-2010-MS-VTI-p46,,,,,,
